source_name,n_detections,n_classified,n_abstained,final_classification,agreement_count,agreement_rate,n_unique_classes,all_classes,avg_confidence_final_class,avg_confidence_all,interestingness_score,bmu_x,bmu_y,edge_bmu,truncated_R
2CXO J233447.4-360504,2,1,1,Stars,1,1.0,1,{'Stars': 1},0.5653,0.5653,0.0,31,12,False,False
2CXO J233605.0-524953,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.8083,0.8083,0.0,22,23,False,False
2CXO J234115.4-572840,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.6808,0.6808,0.0,6,10,False,False
2CXO J234209.8-512005,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7963,0.7963,0.0,1,6,False,False
2CXO J234328.7-152449,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7091,0.7091,0.0,16,22,False,False
2CXO J234332.6-541930,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7597,0.7597,0.0,13,17,False,False
2CXO J234332.9-152729,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,31,17,False,False
2CXO J234401.6-151502,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.7819,0.7819,0.0,23,13,False,False
2CXO J235808.4-323847,2,1,1,Binaries,1,1.0,1,{'Binaries': 1},0.5354,0.5354,0.0,34,24,False,False
2CXO J235839.1-552937,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,22,39,True,True
2CXO J235959.4-573811,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7704,0.7704,0.0,16,18,False,False
2CXO J000010.0-501526,1,1,0,AGN,1,1.0,1,{'AGN': 1},0.8432,0.8432,0.0,13,11,False,False
2CXO J000019.8-245030,1,1,0,AGN,1,1.0,1,{'AGN': 1},0.7224,0.7224,0.0,14,7,False,False
2CXO J000028.5+623053,1,1,0,Stars,1,1.0,1,{'Stars': 1},0.5653,0.5653,0.0,28,18,False,False
2CXO J000047.6-551937,1,1,0,AGN,1,1.0,1,{'AGN': 1},0.7858,0.7858,0.0,5,24,False,False
2CXO J000050.2-574932,1,1,0,AGN,1,1.0,1,{'AGN': 1},0.7441,0.7441,0.0,10,10,False,False
2CXO J000056.6-575021,1,1,0,AGN,1,1.0,1,{'AGN': 1},0.7936,0.7936,0.0,12,13,False,False
2CXO J000056.9-574918,1,1,0,AGN,1,1.0,1,{'AGN': 1},0.7512,0.7512,0.0,19,9,False,False
